MovieName,MovieYear,MovieReleaseDate
27. Life Is Beautiful,1997,"September 18, 2000 (India)"
26. City of God,2002,"January 18, 2007 (India)"
23. Shichinin No Samurai,1954,"April 26, 1954 (Japan)"
25. Saving Private Ryan,1998,"March 26, 1999 (India)"
24. The Silence of the Lambs,1991,"February 14, 1991 (United States)"
21. Interstellar,2014,"November 7, 2014 (India)"
22. It's a Wonderful Life,1946,"January 7, 1947 (United States)"
19. One Flew Over the Cuckoo's Nest,1975,"March 10, 1977 (India)"
"10. Il Buono, Il Brutto, Il Cattivo",1966,"April 15, 1969 (India)"
20. Se7en,1995,"September 22, 1995 (India)"
11. Forrest Gump,1994,"September 12, 2014 (India)"
78. Das Boot,1981,"February 17, 1982 (France)"
61. Das Leben der Anderen,2006,"March 23, 2006 (Germany)"
