MovieName,MovieYear,MovieReleaseDate
171. The Bridge on the River Kwai,1957,"December 28, 1957 (India)"
167. Raging Bull,1980,"December 19, 1980 (United States)"
163. Gone with the Wind,1939,"July 8, 2020 (India)"
161. Chinatown,1974,"February 9, 2013 (India)"
"165. Lock, Stock and Two Smoking Barrels",1998,"August 28, 1998 (United Kingdom)"
164. V for Vendetta,2005,"October 4, 2017 (India)"
160. The Elephant Man,1980,1983 (India)
162. Dial M for Murder,1954,"July 24, 2020 (India)"
166. El Secreto De Sus Ojos,2009,"August 13, 2009 (Argentina)"
159. Prisoners,2013,"September 27, 2013 (India)"
158. Hauru No Ugoku Shiro,2004,"April 1, 2020 (India)"
155. The Great Escape,1963,"July 4, 1963 (United States)"
156. Finding Nemo,2003,"October 24, 2003 (India)"
157. Rashōmon,1950,"August 26, 1950 (Japan)"
154. Monty Python and the Holy Grail,1975,"December 6, 1979 (India)"
153. Yojimbo,1961,"April 25, 1961 (Japan)"
152. Kill Bill: Vol. 1,2003,"October 10, 2003 (United States)"
151. The Treasure of the Sierra Madre,1948,"January 24, 1948 (United States)"
146. El Laberinto Del Fauno,2006,"August 6, 2018 (India)"
149. No Country for Old Men,2007,"January 18, 2008 (India)"
150. The Thing,1982,"December 10, 1982 (India)"
145. The Sixth Sense,1999,"May 21, 2019 (India)"
148. A Beautiful Mind,2001,"October 9, 2020 (India)"
147. Unforgiven,1992,"October 9, 2020 (India)"
144. Jurassic Park,1993,"April 15, 1994 (India)"
137. Judgment at Nuremberg,1961,"December 18, 1961 (Sweden)"
143. Ran,1985,"June 1, 1985 (Japan)"
139. The Truman Show,1998,"November 14, 1998 (India)"
142. Casino,1995,"July 3, 2013 (India)"
141. Shutter Island,2010,"June 4, 2010 (India)"
138. All About Eve,1950,"May 1, 1951 (India)"
136. Top Gun: Maverick,2022,"May 27, 2022 (India)"
140. There Will Be Blood,2007,"January 30, 2008 (India)"
134. Green Book,2018,"November 21, 2018 (India)"
132. Some Like It Hot,1959,"March 19, 1959 (United States)"
135. The Father,2020,"April 23, 2021 (India)"
133. The Kid,1921,"October 7, 2015 (India)"
131. The Wolf of Wall Street,2013,"January 3, 2014 (India)"
130. Batman Begins,2005,"June 17, 2005 (India)"
125. 1917,2019,"January 17, 2020 (India)"
124. Ladri Di Biciclette,1948,"November 24, 1948 (Italy)"
128. Dangal,2016,"December 23, 2016 (India)"
123. L.A. Confidential,1997,"September 19, 1997 (United States)"
126. Taxi Driver,1976,"March 13, 1978 (India)"
